Ticks,Process ID,Queue
772,3,1
774,3,2
775,4,1
776,5,1
778,4,2
780,5,2
781,6,1
782,7,1
783,8,1
785,6,2
787,7,2
789,8,2
793,4,3
797,5,3
801,6,3
805,7,3
809,8,3
817,4,4
825,5,4
833,6,4
841,7,4
849,8,4
